     83/99     3.41G   0.02636  0.007793         0   0.03415        34       640    0.9882    0.9499     0.978    0.7251   0.03889  0.009094         0
     84/99     3.41G   0.02672  0.008013         0   0.03473        50       640    0.9858    0.9516    0.9777    0.7251   0.03889  0.009105         0
     85/99     3.41G   0.02739  0.007923         0   0.03532        27       640    0.9851    0.9516    0.9778    0.7255   0.03883   0.00912         0
     86/99     3.41G   0.02705  0.007945         0     0.035        33       640    0.9859    0.9513    0.9778     0.725   0.03874  0.009138         0
     87/99     3.41G   0.02692  0.007936         0   0.03486        33       640    0.9863    0.9511    0.9778    0.7251    0.0387  0.009148         0
     88/99     3.41G   0.02659  0.007896         0   0.03449        29       640    0.9864    0.9505    0.9778    0.7252   0.03866  0.009161         0
     89/99     3.41G    0.0266  0.007873         0   0.03447        32       640    0.9864    0.9505    0.9778    0.7251   0.03857  0.009177         0
     90/99     3.41G   0.02634  0.007824         0   0.03417        20       640    0.9864    0.9505    0.9779    0.7258   0.03851  0.009188         0
     91/99     3.41G   0.02687  0.007899         0   0.03477        29       640    0.9864    0.9505     0.978    0.7261   0.03846  0.009196         0
     92/99     3.41G   0.02648  0.007861         0   0.03434        31       640    0.9852    0.9505    0.9781    0.7265   0.03839  0.009208         0
     93/99     3.41G   0.02625  0.007832         0   0.03408        43       640    0.9768    0.9585    0.9782    0.7267    0.0383  0.009222         0
     94/99     3.41G   0.02612  0.007795         0   0.03391        37       640    0.9768     0.959    0.9782    0.7265   0.03822  0.009235         0
     95/99     3.41G   0.02598  0.007752         0   0.03373        41       640    0.9768     0.959    0.9782    0.7268   0.03816  0.009246         0
     96/99     3.41G   0.02608  0.007679         0   0.03376        34       640    0.9852    0.9516    0.9782    0.7266    0.0381  0.009256         0
     97/99     3.41G   0.02652  0.007735         0   0.03425        40       640    0.9853    0.9516    0.9782     0.727   0.03806  0.009262         0
     98/99     3.41G   0.02623  0.007763         0     0.034        39       640    0.9853    0.9516    0.9783    0.7262   0.03802  0.009268         0
     99/99     3.41G   0.02619  0.007727         0   0.03392        62       640    0.9774     0.959    0.9782    0.7262   0.03797  0.009275         0
